Category,City,Country,Customer ID,Customer Name,Discount (bin),Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Sales Period,Segment,Ship Date,Ship Mode,State,Sub-Category,Year-Month,Discount,Profit,Quantity,Sales,Year
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,0.00,13-06-2013,CA-2013-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,1,Corporate,17-06-2013,Second Class,California,Labels,01-06-2013,0,6.8714,2,14.62,2013
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0.00,09-06-2011,CA-2011-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,1,Consumer,14-06-2011,Standard Class,California,Furnishings,01-06-2011,0,14.1694,7,48.86,2011
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.00,09-06-2011,CA-2011-115812,90032,OFF-AR-10002833,Newell 322,West,7,1,Consumer,14-06-2011,Standard Class,California,Art,01-06-2011,0,1.9656,4,7.28,2011
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.20,09-06-2011,CA-2011-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,1,Consumer,14-06-2011,Standard Class,California,Phones,01-06-2011,0.2,90.7152,6,907.152,2011
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.20,09-06-2011,CA-2011-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,1,Consumer,14-06-2011,Standard Class,California,Binders,01-06-2011,0.2,5.7825,3,18.504,2011
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.00,09-06-2011,CA-2011-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,1,Consumer,14-06-2011,Standard Class,California,Appliances,01-06-2011,0,34.47,5,114.9,2011
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0.20,09-06-2011,CA-2011-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,1,Consumer,14-06-2011,Standard Class,California,Tables,01-06-2011,0.2,85.3092,9,1706.184,2011
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.20,09-06-2011,CA-2011-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,1,Consumer,14-06-2011,Standard Class,California,Phones,01-06-2011,0.2,68.3568,4,911.424,2011
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,0.20,06-12-2013,CA-2013-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,1,Consumer,11-12-2013,Standard Class,Washington,Binders,01-12-2013,0.2,132.5922,3,407.976,2013
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,0.00,13-05-2011,CA-2011-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,1,Consumer,15-05-2011,Second Class,Utah,Storage,01-05-2011,0,9.99,2,55.5,2011
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.00,27-08-2011,CA-2011-143336,94109,OFF-AR-10003056,Newell 341,West,19,1,Consumer,01-09-2011,Second Class,California,Art,01-08-2011,0,2.4824,2,8.56,2011
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.20,27-08-2011,CA-2011-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,1,Consumer,01-09-2011,Second Class,California,Phones,01-08-2011,0.2,16.011,3,213.48,2011
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.20,27-08-2011,CA-2011-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,1,Consumer,01-09-2011,Second Class,California,Binders,01-08-2011,0.2,7.384,4,22.72,2011
Furniture,Orem,United States,EB-13870,Emily Burns,0.00,25-09-2012,CA-2012-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,1,Consumer,30-09-2012,Standard Class,Utah,Tables,01-09-2012,0,240.2649,3,1044.63,2012
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,0.20,16-01-2013,CA-2013-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,1,Consumer,20-01-2013,Second Class,California,Binders,01-01-2013,0.2,4.2224,2,11.648,2013
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,0.00,16-01-2013,CA-2013-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,1,Consumer,20-01-2013,Second Class,California,Accessories,01-01-2013,0,11.7741,3,90.57,2013
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,0.00,18-07-2013,CA-2013-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,1,Corporate,23-07-2013,Standard Class,California,Storage,01-07-2013,0,3.894,2,77.88,2013
Technology,Los Angeles,United States,KM-16720,Kunst Miller,0.00,24-11-2012,CA-2012-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,1,Consumer,30-11-2012,Standard Class,California,Accessories,01-11-2012,0,6.1512,2,13.98,2012
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0.20,24-11-2012,CA-2012-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,1,Consumer,30-11-2012,Standard Class,California,Binders,01-11-2012,0.2,9.3612,6,25.824,2012
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0.00,24-11-2012,CA-2012-135545,90004,OFF-PA-10003892,Xerox 1943,West,65,1,Consumer,30-11-2012,Standard Class,California,Paper,01-11-2012,0,68.9631,3,146.73,2012
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,0.00,24-11-2012,CA-2012-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,1,Consumer,30-11-2012,Standard Class,California,Furnishings,01-11-2012,0,22.3328,4,79.76,2012
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,0.20,05-12-2011,CA-2011-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,1,Corporate,10-12-2011,Standard Class,Arizona,Art,01-12-2011,0.2,111.3024,8,1113.024,2011
Technology,Gilbert,United States,BS-11590,Brendan Sweed,0.20,05-12-2011,CA-2011-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,1,Corporate,10-12-2011,Standard Class,Arizona,Phones,01-12-2011,0.2,62.988,4,167.968,2011
